,tweet,likes,country,candidate,retweet_count
73,"If voting made any difference they wouldn’t let us do it. — Mark Twain

#vote  #electionday  #Election2020  #trump #biden #whatever https://t.co/3RWloghUQT",0.0,Belarus,Trump,
74,Stanotte vince #TRUMP. Sono cambiati i toni trionfalistici di chi vedeva #Biden in vantaggio di 20 punti. Ora sono costretti ad ammettere un possibile sorpasso negli Stati chiave. Guardate questi #sondaggi Stato per Stato 🇺🇸https://t.co/yCqIv9dTft #maratonamentana #ELECTIONDAY,779.0,Belgium,Trump,
75,"#Mentana commentò la conferenza di #Conte su #Salvini e #Meloni dicendo:""Se lo avessi saputo non lo avrei mandato in onda"". Gli fu dato del censore e del fascista.
Le Tv americane tagliano il discorso di #Trump che è ancora in carica ed è tutto democratico. #fatepacecolcervello🇺🇸 https://t.co/WuzSiNqtjX",768.0,Belgium,Trump,
76,Joe Biden est officiellement élu président des États-Unis #USA2020 #ElectionDay #ElectionNight #Trump #Biden https://t.co/ZOMJyflUpD,503.0,Belgium,Trump,
77,"Justo lo expliqué hoy en entrevista con @antoniovaldezEC, minutos después publican video que refuerza lo que digo.

#Trump es un proyecto con fuertes aliados, el #vaticano y la aristocracia europea. El juego aún no se termina.

La entrevista👉 https://t.co/qNwuJjh7lH https://t.co/yhdPfOIx8z",338.0,Belgium,Trump,
78,"Ecco gli 'esperti' che per mesi ci hanno dato i #sondaggi sul gradimento di #Conte al 104%; sono gli stessi che non parlano dell'indagine su 7 membri del #Governo.
Non so se abbia vinto #Trump o #Biden, so che voi avete perso e non siete più credibili!🇮🇹
#4novembre #Elections2020 https://t.co/SFX9WJoXDx",305.0,Belgium,Trump,
79,Do you ! #DonaldTrump ! @FLOTUS #DonaldTrumpIsPathetic #DonaldTrumpHasAChineseBankAccount https://t.co/ERYVBUhVKf,1.0,Belize,Trump,
80,#TrumpTantrum @realDonaldTrump #MAGA #ByeByeTrump #TrumpOut #Trump #JoeBiden https://t.co/utfVzJxPhi,1.0,Belize,Trump,
81,@realDonaldTrump #Trump idealist,0.0,Belize,Trump,
82,@realDonaldTrump #DonaldTrump #donaldtrump2020 @FoxNews https://t.co/vUdgzH4hul,0.0,Belize,Trump,
83,#DonaldTrump #MAGA #MAGA2020 #DonaldTrumpsAmerica https://t.co/V8Tg9nER6r,0.0,Belize,Trump,
84,"#Federalworkers #CivilService
#VoteBlueToSaveAmerica #TrumpIsARacist #Trump2020Landslide #BidenHarris2020Landslide     #Trump’s newest executive order could prove one of his most insidious

https://t.co/3WytWCJpfp",0.0,Benin,Trump,
85,"#VoteThemAllOut
Lincoln Project says #Kushner and #Trump are ""entitled, out-of-touch bullies"" in response to billboard lawsuit threat

https://t.co/swOI8KsEse",0.0,Benin,Trump,
86,"☠️ #Elections2020
Gane #Biden o #Trump da lo mismo.🤷🏻‍♀️
El neoliberalismo es muerte y hambruna. 
#EEUU continuará su ola de crímenes por los recursos ajenos. 
#HaciaUnaNuevaAN https://t.co/aUhIJjM2D4",228.0,Bolivia,Trump,
87,"Ganó la vida, 
Ganó la libertad, 
Ganó la familia, 
Ganó Latinoamérica, 
¡¡¡GANÓ TRUMP!!!
#Trump2020
#EleccionesEEUU
#latamsupportstrump
#Trump 
#Elecciones2020 https://t.co/0tCGRy4TgN",208.0,Bolivia,Trump,
88,"¡¡¡Hoy gana el mejor!!!
#Trump 
#Trump2020 
Por la vida, la libertad y el bien común 👏👏👏 https://t.co/A7Y1EzL2YT",136.0,Bolivia,Trump,
89,"🔥 #EEUU 🔥
#Elections2020

Manifestantes salen a las calles de Chicago contra  #Trump

🗣️ Gritan los nombres de “Breonna Taylor! George Floyd!” asesinados por la Policía🤬

.@TPU19J .@ellamararodrig1
.@mijamart88 
https://t.co/yo9X2e4Run",109.0,Bolivia,Trump,
90,"Yo seguía a Donald #Trump desde el 2004.
Siempre amé su carácter irreverente y políticamente incorrecto, y ahora el representa la Derecha Conservadora, les guste o no!
#Elecciones2020
#Trump2020 https://t.co/Riq3bTlgg8",70.0,Bolivia,Trump,
91,#trump yeniden başkan https://t.co/6gGvoDbzCw,14.0,Bosnia and Herzegovina,Trump,
92,Sad day for war criminals in serbia and other fascists #ByeByeTrump #trump #SupportPresidentTrump https://t.co/SEn3wbMjjE,14.0,Bosnia and Herzegovina,Trump,
93,Biden je nakon višednevnog brojanja glasova osvojio ključnu državu Pennsylvaniju #joebiden #donaldtrump #izboriusadu https://t.co/jMdoB4HEhG,12.0,Bosnia and Herzegovina,Trump,
94,46. predsjednik SAD-a #sad #joebiden #donaldtrump #izboriusadu https://t.co/dAGIs39oYG,9.0,Bosnia and Herzegovina,Trump,
95,Oglasila se na Twitteru #joebiden #donaldtrump #izboriusadu #kamalaharris https://t.co/QYRlfIAzz9,7.0,Bosnia and Herzegovina,Trump,
96,🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣😂😂😂😂😂😂😂😂😂😂😂😂😂#Vote2020 #BidenHarris2020 #DonaldTrump  https://t.co/aWXPYDvqJf,2659.0,Brazil,Trump,
97,"Derrota de Trump sinaliza a derrocada de Bolsonaro.#MarcoAntonioVilla #Biden #KamilaHarris #democracia #Trump #Bolsonaro 
“JOE BIDEN BATE TRUMP E GARANTE ELEIÇÃO COMO O 46º PRESIDENTE DOS ESTADOS UNIDOS”.
https://t.co/EhpheQ5rcW",2361.0,Brazil,Trump,
98,"Hoje é o dia! 🇧🇷🤝🇺🇸 
#KAG #MAGA #Trump",2289.0,Brazil,Trump,
99,Celebridades ameaçam deixar os EUA caso Trump seja reeleito #DonaldTrump https://t.co/PBFBKek5Gh,2057.0,Brazil,Trump,
100,"Ao invés de cumprimentar Biden, o servo voluntário de Trump escolheu agir contra os interesses do Brasil, como de hábito.
#MarcoAntonioVilla #Biden #Bolsonaro #Trump 
""Em dia de vitória de Biden, Bolsonaro ignora EUA e faz propaganda política."" https://t.co/Gp6Ahwo4ii",1515.0,Brazil,Trump,
101,"#Trump will go down in History as the Most Dishonest Corrupt President in The History of America how sad is that , his name,family,friends would not pronounce that sick bastards name again @rhodafromfloda @PoliticusSarah @ProjectLincoln https://t.co/d2XXvxwVNC",1.0,British Virgin Islands,Trump,
102,Hillary won the popular vote supposedly For the People by the People but is Electoral College last word. Half the people that voted for #Trump won't repeat the same MISTAKE so you make your calculations HE'S FRIED TOAST THE END @ProjectLincoln @rhodafromfloda,0.0,British Virgin Islands,Trump,
103,"#Trump threatening to reveal US Secrets if He loses the Election which He will , but what kind of patriot is this AHole @rhodafromfloda https://t.co/nutoKyMQn7",0.0,British Virgin Islands,Trump,
104,"Trump insists Biden got $3.5 million from Putin👇
#FinanceBrokerage #WeWriteWhatIsRight #Trump #Putin 
https://t.co/LQHmsShnvq",0.0,British Virgin Islands,Trump,
105,Did #Trump rape all those women ? HELL YES !!! https://t.co/7tg96qpql1,0.0,British Virgin Islands,Trump,
106,"10 Books with #Clairvoyant/#Psychic predictions of: #Election2020, #ElectionDay ,#2020Election, #Biden , #Trump , #VOTE , #Trump2020 or #Biden2020 , #SupremeCourt , #Elections2020 https://t.co/ibU3hS9zR3",1.0,Bulgaria,Trump,
107,"10 Books with #Clairvoyant/#Psychic predictions of: #Election2020, #ElectionDay ,#2020Election, #Biden , #Trump , #VOTE , #Trump2020 or #Biden2020 , #SupremeCourt , #Elections2020 https://t.co/xtR5SNFaAx",1.0,Bulgaria,Trump,
108,"10 Books with #Clairvoyant/#Psychic predictions of: #Election2020, #ElectionDay ,#2020Election, #Biden , #Trump , #VOTE , #Trump2020 or #Biden2020 , #SupremeCourt , #Elections2020 https://t.co/CHw9c8VNd1",1.0,Bulgaria,Trump,
109,"10 Books with #Clairvoyant/#Psychic predictions of: #Election2020, #ElectionDay ,#2020Election, #Biden , #Trump , #VOTE , #Trump2020 or #Biden2020 , #SupremeCourt , #Elections2020 -... https://t.co/fAZ0PEBWAR",1.0,Bulgaria,Trump,
110,"NEW #EBOOK : #Trump vs #Biden The #War in USA – Presidential #Election2020 . Internal #Information about the strategies and plans of the #Election battle Clairvoyant/Psychic predictions for USA June – November 2020 through the eyes of : The killer of - 
https://t.co/wj19uSb4Os",0.0,Bulgaria,Trump,
111,"@mathieugallard @ipsosus Je ne comprends pas...
Ils sont nombreux à annoncer #Trump gagnant alors que les sondages donnent #Biden en première position.
Que se passe-t-il?",2.0,Burkina Faso,Trump,
112,VOTE OUT #TRUMP! https://t.co/T12VZhhA1l,2.0,Burkina Faso,Trump,
113,"La diplomatie selon Trump [2/6]: l’Afrique, continent oublié https://t.co/R6fyKo2ReI via @RFIAfrique #USA #DonaldTrump",1.0,Burkina Faso,Trump,
114,"Tapez votre mot de passe pour effectuer le virement 1B$:
Maga2020 #Trump https://t.co/jP1GSqU1XD",1.0,Burkina Faso,Trump,
115,Élections américaines: les républicains s'éloignent de Donald Trump https://t.co/XOiPv7EVrR via @RFI #USAelection2020 #DonaldTrump,1.0,Burkina Faso,Trump,
116,"2/
-This is the BIGGEST Election Scandal &amp; MEGAFRAUD against the #American Public ever perpetrated! The Polling company who has sole contract FRAUDED the data to send to the MSM, so that #Trump could not call the election win, &amp; you thought #Biden won so the polls close, they --&gt;",1266.0,Cambodia,Trump,
117,"4/
-And who is behind it?? #GatesFoundation! #Facebook #Google #Apple #Spotify &amp; GLOBALIST Orgs that HATE Trump and are ALL UNDER CRIMINAL INVESTIGATIONS by the #Trump Administration!! They have RIGGED the election colluding just like Banning his posts and banning #conservatives!",1225.0,Cambodia,Trump,
118,"11/
-#CBS says the numbers you are told by #MSM ARE NOT REAL. They are supposed to be from the counties but they LIED TO YOUR FACE. They are 100% FRAUDED &amp; off by MILLIONS claiming #JoeBiden won when #Trump was WAY AHEAD. They did this to FAKE a look like the election is close! https://t.co/gwC73Pb9gJ",1158.0,Cambodia,Trump,
119,"🚨🚨More Videos out about the white trucks dumping MILLIONS of #Trump Votes into the dumpsite. WOW.
More &amp;more evidence of Coordinated Election-Fraud the likes of has never been seen before in any western nation in history. MASSIVE removal of TRUCKLOADS of documents from stations https://t.co/UrhXKsQNB6",1102.0,Cambodia,Trump,
120,"16/
Here you can see who PAYS THEM.
#GatesFoundation #Google #Apple #Facebook #Amazon #Spotify #Disney CPP's #AMC &amp; Globalist Orgs. All who Ban &amp; Deplatform #Conservatives &amp; #Trump posts &amp; are TDS maniacs &amp; under CRIMINAL investigations &amp; Anti-Trust investigations vs the people!! https://t.co/GthVLtSvcG",756.0,Cambodia,Trump,
